Id,AgeGrp,Gender,DGI,IGI,GD,Game_titles,Action_adventure,MOBA,Other,Shooters,Card_games,Strategy,RPG,Sport_games,Simulation,Puzzle,MMORPG,Driving,Battle_royale,Survival_horror,Platform,Fighting,GMI_Advancement,GMI_Amotivation,GMI_Autonomy,GMI_Boredom,GMI_Competence,GMI_Competition,GMI_Completion,GMI_Coping,GMI_Escape,GMI_Exploration_Mechanics,GMI_Fantasy,GMI_Financial,GMI_Gameskills,GMI_Identity,GMI_Introjected_regulation,GMI_Recreation,GMI_Skill_development,GMI_Social,GMI_Status,GMI_Arousal_action,GMI_Cooperation,GMI_Customization,GMI_Destruction,GMI_Graphics,GMI_Story,GMI_Strategy,GMI_MasteryHO,GMI_ImmersionHO,GMI_CompetitionHO,GMI_StimulationHO,GMI_SocialHO,GMI_HabitBoredomHO
45151670,2,1,32,62,4,league of legends 20h,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,8,12,12,12,12,12,16,16,16,12,16,20,12,12,16,16,12,16,12,12,12,12,12,12,13.00,13.71,9.71,13.33,13.33,14.00
45166055,3,2,7,35,8,League of legends 30 godzin WOT 12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,15,8,20,7,7,14,9,7,14,9,3,15,12,6,18,13,21,7,18,14,10,11,12,12,12,12.25,8.29,6.14,13.67,15.67,17.50
45118620,2,1,11,17,8,"League of legends 8h, TFT 2h",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,6,11,3,3,3,8,5,6,4,8,4,5,3,6,4,4,3,10,3,3,3,6,15,9,5.00,4.86,0.71,6.33,5.33,7.50
44932596,2,2,36,39,10,League of Legends- 8h Cities Skylines-10h Filament - 3h Sudoku-5h My Hotpot story - 2h,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,19,24,3,18,18,21,12,10,13,20,19,4,23,22,5,20,22,22,12,21,16,17,10,21,7,18,16.75,12.86,13.43,17.33,18.67,21.00
44606515,4,1,37,0,4,Logiczne,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,16,18,7,7,3,11,15,10,5,20,7,15,3,20,25,4,3,7,3,3,3,11,9,3,8.75,10.29,6.14,7.00,3.33,11.00
45423669,2,1,21,21,14,"Lotro -5h Hidden City - 1h, Pokemon Black & White 5h",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,14,5,18,14,3,3,12,16,8,13,3,8,5,3,21,4,7,3,12,9,15,3,11,15,7,7.00,9.71,2.86,8.67,7.67,16.00
44576369,4,1,7,35,4,Mahjong,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,2,20,7,9,7,3,13,9,13,4,3,17,19,3,21,22,11,3,13,3,3,3,12,11,6,11.88,11.00,7.14,9.33,6.67,4.50
44616850,4,2,9,5,9,mario - 3h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,9,22,17,12,14,10,16,18,19,20,16,19,23,13,18,21,9,10,18,11,14,9,13,11,15,17.00,17.71,11.14,13.33,11.67,13.00
44925592,3,1,7,5,4,Match Masters,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,2,3,3,3,3,5,4,4,4,4,4,6,3,9,5,5,3,4,7,3,3,7,3,3,3.63,3.86,2.57,4.67,5.00,3.50
44581812,3,1,14,35,12,Match masters 8h.     Wow 5h,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,21,11,24,20,19,20,20,16,23,25,17,11,22,23,14,19,19,21,17,24,13,20,13,17,12,18,21.13,19.43,14.14,18.00,17.33,15.50
44926652,1,1,5,10,6,minecraft - 3h moviestarplanet -8h,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,2,4,10,9,5,10,22,4,11,3,4,11,3,16,10,10,3,10,4,21,3,21,3,15,10.25,9.86,5.14,11.33,9.67,8.50
44619761,1,1,9,37,9,"Minecraft - 8h, The Sims 4 - 10h",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,11,25,20,10,3,7,17,28,28,22,3,26,8,3,21,10,4,3,15,9,21,3,17,18,19,19.50,16.14,5.29,11.67,10.67,15.50
44929681,4,1,7,35,7,Minecraft 5h,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,9,14,11,17,10,14,19,14,20,7,20,18,13,12,16,16,12,21,15,16,12,13,17,19,14.75,14.86,10.29,15.33,16.67,14.00
44582085,4,1,48,56,14,"Minecraft, word craft, fortnite",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,12,21,17,18,14,15,19,23,20,21,20,19,20,16,18,15,24,18,22,18,16,6,21,19,18,17.38,19.71,11.57,16.33,20.00,14.50
44582644,1,2,23,29,8,Mobile legends 10 h coin master 3 h,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,16,12,4,7,5,15,14,10,4,3,14,6,4,21,8,9,6,17,14,9,5,13,5,14,10.38,9.00,5.43,11.67,12.33,7.50
45166036,1,2,35,74,7,"outlast-8h,the last of us remastered ps4",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,12,5,11,3,5,9,11,10,17,5,3,13,12,3,15,15,6,4,14,4,14,7,14,15,14,11.75,7.00,4.00,11.67,8.00,11.50
44598133,1,2,25,30,5,"Overwatch, fall guys. szachy",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,17,11,23,19,20,19,19,17,25,22,21,18,26,31,17,19,25,27,19,28,21,15,12,21,21,21,21.00,22.00,15.00,20.33,23.00,15.00
44573160,4,1,16,6,5,"pasjans - 10h, genshin impact - 20h, rust - 5h",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,10,21,19,14,11,11,17,23,18,19,3,12,6,4,19,5,7,3,24,11,21,6,17,14,15,15.00,14.86,5.00,15.67,11.00,14.50
44620798,1,1,2,10,5,"plants vs zombies - 2h, cooking fever - 7h, minecraft - 2h",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,3,7,9,5,6,4,6,4,5,5,3,5,5,3,10,4,5,3,8,3,14,3,10,6,9,6.75,5.00,2.86,7.00,5.67,6.00
44575335,1,1,5,12,7,"Pokemon go- 4 godziny, brawl stars- godzina, Minecraft - godzina",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,18,13,7,13,7,8,21,18,8,3,17,10,4,15,6,9,4,18,7,15,10,15,11,9,13.13,10.86,5.71,14.33,8.33,7.50
44730853,2,1,9,0,4,Sims,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,15,12,4,9,8,5,6,11,10,3,8,8,3,18,7,6,3,14,7,16,9,18,17,17,11.75,7.29,2.43,13.67,10.00,7.00
44587968,1,1,17,145,12,"Simsy -10, block puzzle jewel - 30",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,16,9,15,19,12,13,12,13,20,16,16,6,18,14,5,17,7,11,9,24,6,15,18,16,18,18,14.63,13.57,6.57,19.33,11.67,14.00
44928562,2,1,9,5,6,Simsy -2 h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,16,8,17,12,17,15,12,17,18,16,14,18,21,9,14,19,17,12,18,11,10,11,12,10,13,14.50,13.57,11.00,13.67,13.67,16.50
44579897,1,1,4,40,7,Simsy 3h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,9,13,10,8,13,13,10,14,12,12,5,15,16,5,10,13,12,5,10,11,9,3,13,8,8,11.75,11.14,7.29,8.67,10.33,9.50
45253210,1,1,9,32,4,Simsy 4h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,10,6,6,4,3,3,6,5,4,3,4,6,3,5,5,5,5,7,3,5,4,4,4,5,5.00,5.43,3.29,5.00,4.33,5.00
44927626,3,2,7,7,6,Snake Gameloft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,11,4,11,8,7,7,7,8,12,8,3,11,5,3,11,9,4,3,11,11,6,3,12,13,15,8.88,6.14,4.00,8.67,10.00,11.00
45141857,2,1,34,55,9,Sniper attack 3D- 2h  coin master-3h,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,19,5,14,11,15,9,14,18,12,17,6,16,15,6,15,17,9,7,27,14,19,18,17,17,13,12.88,12.29,7.86,20.67,12.00,16.50
44924783,3,1,0,0,4,"Splendor 1 h, kości 4 h",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,6,3,3,3,3,4,4,4,3,4,5,3,9,4,4,3,6,3,3,3,6,3,5,3.50,3.43,2.43,5.00,4.00,5.00
44975575,2,1,25,17,4,"Stalker, Mobile Legends",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,3,3,9,3,11,4,24,4,3,16,16,3,21,4,7,3,14,17,3,3,12,11,15,8.75,6.14,3.86,9.67,13.00,3.50
44929598,3,2,13,27,10,"Stronghold 10h,",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,18,12,3,10,18,13,9,15,12,10,7,21,9,3,19,21,14,4,21,7,10,7,14,18,21,16.13,9.71,8.43,14.00,14.00,10.50
45114740,1,1,7,21,8,"Stumble guys, brawl stars, soul knight",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,24,4,16,7,6,9,16,23,18,20,6,13,22,5,20,12,13,10,24,8,13,11,21,21,13,11.25,13.86,4.57,18.67,11.33,20.00
44618979,1,1,9,21,4,"Subway surf - 1h, Romance club - 2h, duskwood - 2h",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,4,13,16,7,8,5,13,12,12,15,3,10,8,3,13,11,8,3,15,5,6,9,15,15,11,9.25,10.14,3.86,13.00,8.00,10.00
44928264,3,1,27,50,13,"Subway Surf, WOW, minecraft",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,22,8,12,18,19,18,16,21,24,22,17,26,27,14,20,23,21,16,25,18,19,18,19,19,18,19.13,18.00,13.86,20.67,19.00,17.00
45300678,1,1,0,9,4,subway surfers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,2,21,4,3,3,3,5,5,4,3,4,5,3,5,4,4,3,4,3,6,3,9,4,3,3.75,3.71,2.43,5.33,3.33,13.50
45432728,3,2,4,5,5,Sudoku - 2 godziny,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,21,7,10,11,10,3,12,20,16,23,7,18,28,4,20,23,15,13,23,8,7,11,15,21,14,12.63,15.00,8.29,16.33,12.33,15.50
45151501,4,1,7,16,11,Super Mario -10h pasjans- 6h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,14,5,6,13,14,12,11,19,14,13,7,17,17,8,14,16,19,10,20,14,16,13,15,17,13,13.63,12.29,8.71,16.00,15.33,10.00
44620542,1,1,25,43,11,"Team Fortress - 10h, Hades - 4h, Muse Dash - 2h",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,8,14,10,10,17,14,8,17,16,16,6,21,13,14,14,16,9,8,16,4,17,11,21,18,18,16.38,13.14,9.71,16.00,10.33,9.00
45186768,1,2,11,16,9,The binding of isaac - 20h,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,14,11,9,13,15,15,20,19,12,3,19,11,3,19,20,10,13,21,9,14,10,12,14,13,15.88,12.00,9.00,14.33,10.67,15.50
44690573,3,1,34,44,4,The Last of us,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,28,18,17,21,20,21,24,28,25,21,28,26,7,21,28,28,21,28,21,21,19,21,21,21,24.38,21.14,14.43,22.67,23.33,10.00
44618447,3,1,7,61,13,"the sims - 10 h, harry potter - 6 h",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,6,16,12,14,15,15,14,18,19,19,12,19,21,14,15,17,20,15,21,14,15,15,15,16,15,16.38,16.57,11.14,17.00,16.33,9.00
45412888,2,1,18,25,5,"The sims - 20h, LOL - 5h,",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,20,2,5,8,6,6,6,4,19,4,9,10,9,3,17,12,10,7,14,15,21,3,21,20,18,12.88,5.14,3.71,12.67,14.33,12.50
44693730,2,1,23,133,9,The Sims 12h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,5,16,8,6,4,6,6,4,15,6,3,15,9,3,8,12,7,4,8,6,20,3,20,17,3,11.88,7.14,3.86,10.33,5.33,6.50
44687373,1,1,60,33,7,"The Sims 3 - 5h , The Sims 4 - 4h , Minecraft - 5h , Cities: Skylines - 1h , Don't Starve Together - 2h , Planet Zoo - 5h",1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,6,2,24,3,5,7,3,14,8,19,15,5,15,18,3,20,10,14,5,9,11,16,4,12,19,12,13.13,12.43,3.71,8.33,12.33,2.50
44934081,1,1,17,54,10,"The sims 4 - 10, League of Legends - 3, Fall guys - 3",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,20,21,5,17,16,15,18,14,21,21,21,6,20,25,8,18,19,21,6,21,18,19,13,18,21,14,17.00,15.71,9.00,17.33,17.67,19.00
44619072,1,1,13,31,4,"The Sims 4 - 8h, GTA4 - 5h",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,3,18,11,15,9,12,15,19,20,18,3,21,13,3,19,20,7,5,27,10,19,13,20,20,19,17.88,14.43,7.57,20.00,12.00,7.00
44575864,2,1,14,0,5,The sims 4-15h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,3,19,19,7,13,3,14,12,7,8,3,9,8,3,21,5,10,5,15,11,21,7,13,18,14,11.50,10.14,3.43,11.67,11.67,11.00
45413685,4,1,9,5,6,"Tile Fun - 1h, Zoo2 Animal Park1h",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,4,3,6,3,3,4,8,24,4,4,3,6,5,3,9,9,4,3,4,3,3,3,7,6,5,5.00,7.14,3.00,4.67,4.00,5.00
44673222,2,1,9,30,4,Tom2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,15,6,11,6,7,11,17,12,15,6,12,10,6,13,11,11,7,14,8,15,8,15,10,13,11.88,12.14,6.14,12.33,10.67,5.00
44607210,4,2,16,0,4,top eleven  20h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,13,8,17,3,3,3,16,22,4,18,3,4,5,7,17,4,4,3,9,3,3,3,17,12,3,4.00,11.29,1.71,9.67,3.33,15.00
45391954,3,2,46,113,14,Top od wars,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,20,10,15,16,16,13,15,20,21,19,16,17,24,17,16,20,22,12,20,16,15,16,16,16,14,15.75,17.29,11.71,17.33,17.33,17.50
44582201,4,1,18,35,4,trainstation,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,9,20,8,6,7,9,9,20,22,6,3,10,10,5,15,22,15,3,12,21,12,3,15,18,21,15.75,10.86,5.00,10.00,19.00,8.50
44727724,4,1,21,0,4,Triple trile,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,4,21,3,6,4,13,22,4,6,3,4,7,3,15,9,4,3,10,3,4,3,9,7,17,6.13,8.29,3.00,7.33,8.00,14.00
44570434,3,2,22,32,7,"War Planet Online 4h, The Witcher 3 Wild Hunt 10h",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,21,2,28,21,10,13,18,21,25,28,28,3,25,20,3,21,28,4,8,28,3,3,21,21,21,21,21.50,19.29,9.43,23.33,9.33,11.50
44563385,1,2,18,25,7,"War Thunder - 5h, League of Legends - 3h, CarX Drift - 2h",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,4,25,6,14,15,10,16,13,15,16,3,17,13,8,17,18,10,9,21,10,19,18,14,12,19,16.63,15.00,9.86,17.67,13.00,5.00
44581766,1,2,9,9,4,Word od tanks  - 5 godzin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,9,17,12,13,16,14,12,16,16,17,13,12,20,13,14,16,18,12,16,12,12,14,13,14,13,13.88,15.43,9.71,14.33,14.33,10.50
44690316,4,2,7,0,5,"World od tanks , numer match",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,12,6,7,15,4,15,17,6,4,5,9,8,6,19,18,7,3,15,16,8,3,19,8,15,9.38,9.86,7.14,12.33,12.67,4.50
44644305,4,2,9,35,4,World's od wonders-4h,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,6,6,4,9,3,8,4,4,4,3,4,5,3,11,8,5,3,14,3,9,4,3,3,3,5.25,4.86,4.00,7.00,3.67,4.00
44673252,3,1,16,8,4,Zombi vs plants-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,14,8,9,13,9,15,16,10,7,3,12,7,3,15,5,7,3,20,6,16,14,16,15,18,11.75,10.14,4.29,16.67,10.33,5.00